purchase_id,medicine_id,shop_id,supplier_name,purchase_date,quantity,cost_price
PUR6042,MED2484,SHOP3107,ABC Suppliers,2019-02-03,85,200
PUR6043,MED2738,SHOP3037,HealthCorp,2023-12-05,21,198
PUR6044,MED2147,SHOP3117,LifeLine,2023-08-07,35,201
PUR6045,MED2262,SHOP3032,HealthCorp,2022-03-02,66,217
PUR6046,MED2232,SHOP3102,ABC Suppliers,2025-08-18,46,259
PUR6047,MED2476,SHOP3144,MedLink,2019-08-13,62,240
PUR6048,MED2518,SHOP3143,LifeLine,2025-06-23,50,197
PUR6049,MED2208,SHOP3083,ABC Suppliers,2023-07-09,22,154
PUR6050,MED2488,SHOP3106,LifeLine,2022-08-28,9,139
PUR6051,MED2765,SHOP3138,HealthCorp,2023-09-17,73,245
PUR6052,MED2236,SHOP3113,ABC Suppliers,2024-08-15,56,153
PUR6053,MED2923,SHOP3061,LifeLine,2021-12-22,43,193
PUR6054,MED2335,SHOP3047,LifeLine,2021-06-13,45,253
PUR6055,MED2921,SHOP3143,LifeLine,2019-07-24,72,255
PUR6056,MED2030,SHOP3061,ABC Suppliers,2025-01-02,76,257
PUR6057,MED2784,SHOP3040,HealthCorp,2022-10-28,47,253
PUR6058,MED2208,SHOP3135,MedLink,2019-06-30,51,222
PUR6059,MED2070,SHOP3057,ABC Suppliers,2023-03-25,68,209
PUR6060,MED2532,SHOP3101,LifeLine,2020-11-14,42,198
PUR6061,MED2865,SHOP3098,HealthCorp,2023-10-18,25,173
PUR6062,MED2188,SHOP3134,MedLink,2022-05-03,38,172
PUR6063,MED2063,SHOP3012,MedLink,2020-01-01,79,225
PUR6064,MED2808,SHOP3046,HealthCorp,2024-01-05,81,125
PUR6065,MED2155,SHOP3107,ABC Suppliers,2022-03-05,44,240
PUR6066,MED2864,SHOP3043,HealthCorp,2019-12-29,28,243
PUR6067,MED2356,SHOP3021,ABC Suppliers,2020-03-27,59,176
PUR6068,MED2332,SHOP3087,HealthCorp,2020-05-24,69,204
PUR6069,MED2402,SHOP3054,HealthCorp,2020-09-12,76,225
PUR6070,MED2167,SHOP3023,MedLink,2019-04-06,26,113
PUR6071,MED2549,SHOP3082,MedLink,2025-05-06,44,192
PUR6072,MED2753,SHOP3078,LifeLine,2020-04-17,40,384
PUR6073,MED2858,SHOP3129,LifeLine,2024-10-29,38,188
PUR6074,MED2135,SHOP3092,ABC Suppliers,2021-10-27,58,109
PUR6075,MED2361,SHOP3010,HealthCorp,2019-08-28,28,164
PUR6076,MED2925,SHOP3059,LifeLine,2022-06-02,18,208
PUR6077,MED2210,SHOP3001,LifeLine,2021-01-26,41,205
PUR6078,MED2925,SHOP3109,LifeLine,2025-07-17,33,197
PUR6079,MED2143,SHOP3145,ABC Suppliers,2024-07-21,48,254
PUR6080,MED2602,SHOP3037,ABC Suppliers,2024-03-01,51,102
PUR6081,MED2162,SHOP3091,HealthCorp,2023-08-25,71,163
PUR6082,MED2985,SHOP3031,LifeLine,2022-06-15,55,230
PUR6083,MED2021,SHOP3030,ABC Suppliers,2021-07-07,21,299
PUR6084,MED2306,SHOP3065,LifeLine,2019-06-15,57,237
PUR6085,MED2126,SHOP3148,MedLink,2022-06-21,51,143
PUR6086,MED2458,SHOP3075,HealthCorp,2020-07-07,43,171
PUR6087,MED2233,SHOP3097,LifeLine,2020-09-15,31,263
PUR6088,MED2704,SHOP3056,ABC Suppliers,2025-05-30,52,179
PUR6089,MED2042,SHOP3082,HealthCorp,2023-10-20,45,204
PUR6090,MED2534,SHOP3141,MedLink,2021-02-20,79,160
PUR6091,MED2362,SHOP3053,LifeLine,2024-03-13,29,310
PUR6092,MED2597,SHOP3044,HealthCorp,2022-05-22,60,196
PUR6093,MED2454,SHOP3024,ABC Suppliers,2024-06-03,83,171
PUR6094,MED2653,SHOP3073,ABC Suppliers,2021-07-03,16,227
PUR6095,MED2578,SHOP3091,ABC Suppliers,2024-01-25,66,177
PUR6096,MED2855,SHOP3001,MedLink,2020-06-14,104,192
PUR6097,MED2835,SHOP3088,LifeLine,2022-04-10,39,189
PUR6098,MED2353,SHOP3090,LifeLine,2025-05-19,41,218
PUR6099,MED2300,SHOP3045,HealthCorp,2020-04-10,60,208
PUR6100,MED2599,SHOP3034,LifeLine,2020-03-12,62,111
PUR6101,MED2291,SHOP3130,HealthCorp,2023-01-08,64,168
PUR6102,MED2148,SHOP3146,HealthCorp,2025-01-30,70,208
PUR6103,MED2436,SHOP3052,LifeLine,2024-06-21,81,273
PUR6104,MED2298,SHOP3090,HealthCorp,2024-03-20,23,226
PUR6105,MED2441,SHOP3013,MedLink,2019-05-09,30,179
PUR6106,MED2481,SHOP3077,HealthCorp,2023-06-21,50,153
PUR6107,MED2794,SHOP3014,LifeLine,2021-06-06,60,141
PUR6108,MED2649,SHOP3115,LifeLine,2019-06-19,70,234
PUR6109,MED2480,SHOP3118,MedLink,2024-02-12,45,326
PUR6110,MED2910,SHOP3098,HealthCorp,2023-09-18,51,122
PUR6111,MED2560,SHOP3118,HealthCorp,2021-04-02,49,110
PUR6112,MED2934,SHOP3065,LifeLine,2024-06-18,33,184
PUR6113,MED2815,SHOP3079,HealthCorp,2023-02-15,63,156
PUR6114,MED2993,SHOP3091,ABC Suppliers,2020-05-29,52,180
PUR6115,MED2368,SHOP3067,HealthCorp,2020-07-21,40,159
PUR6116,MED2899,SHOP3059,LifeLine,2022-12-25,23,235
PUR6117,MED2022,SHOP3095,MedLink,2024-03-29,55,358
PUR6118,MED2044,SHOP3115,MedLink,2020-04-16,88,196
PUR6119,MED2610,SHOP3003,ABC Suppliers,2023-11-01,11,90
PUR6120,MED2708,SHOP3140,HealthCorp,2019-03-09,59,254
PUR6121,MED2643,SHOP3059,LifeLine,2020-02-23,73,317
PUR6122,MED2781,SHOP3114,MedLink,2024-06-09,63,251
PUR6123,MED2573,SHOP3140,MedLink,2019-11-18,68,198
PUR6124,MED2495,SHOP3125,HealthCorp,2023-09-05,67,184
PUR6125,MED2598,SHOP3123,ABC Suppliers,2019-04-23,34,172
PUR6126,MED2784,SHOP3016,ABC Suppliers,2019-09-17,60,220
PUR6127,MED2956,SHOP3037,MedLink,2020-10-19,36,159
PUR6128,MED2006,SHOP3111,MedLink,2025-06-13,62,278
PUR6129,MED2313,SHOP3051,ABC Suppliers,2025-06-12,82,189
PUR6130,MED2379,SHOP3090,HealthCorp,2021-04-25,44,210
PUR6131,MED2651,SHOP3002,ABC Suppliers,2025-03-05,1,175
PUR6132,MED2977,SHOP3087,ABC Suppliers,2022-03-19,33,144
PUR6133,MED2184,SHOP3020,LifeLine,2022-06-27,65,289
PUR6134,MED2659,SHOP3010,ABC Suppliers,2021-04-14,57,216
PUR6135,MED2603,SHOP3090,MedLink,2020-12-28,56,258
PUR6136,MED2458,SHOP3045,MedLink,2024-07-11,95,109
PUR6137,MED2827,SHOP3107,ABC Suppliers,2024-09-14,28,135
PUR6138,MED2957,SHOP3035,ABC Suppliers,2023-11-04,47,198
PUR6139,MED2347,SHOP3138,ABC Suppliers,2021-10-19,51,238
PUR6140,MED2770,SHOP3057,HealthCorp,2023-01-24,88,300
PUR6141,MED2730,SHOP3075,HealthCorp,2022-10-26,48,236
PUR6142,MED2548,SHOP3034,ABC Suppliers,2025-02-20,10,195
PUR6143,MED2878,SHOP3144,MedLink,2020-10-14,32,239
PUR6144,MED2852,SHOP3047,LifeLine,2024-01-15,32,159
PUR6145,MED2293,SHOP3146,HealthCorp,2021-03-14,72,231
PUR6146,MED2571,SHOP3020,HealthCorp,2023-11-22,87,143
PUR6147,MED2503,SHOP3092,LifeLine,2019-07-20,31,194
PUR6148,MED2995,SHOP3035,HealthCorp,2019-07-18,69,224
PUR6149,MED2904,SHOP3021,LifeLine,2024-11-06,77,172
PUR6150,MED2398,SHOP3059,MedLink,2020-02-04,25,185
PUR6151,MED2973,SHOP3145,HealthCorp,2023-06-08,54,151
PUR6152,MED2198,SHOP3119,HealthCorp,2021-08-03,45,175
PUR6153,MED2813,SHOP3083,LifeLine,2020-04-25,48,168
PUR6154,MED2158,SHOP3036,LifeLine,2025-06-09,47,171
PUR6155,MED2109,SHOP3099,ABC Suppliers,2024-04-30,38,245
PUR6156,MED2446,SHOP3046,LifeLine,2022-09-30,63,194
PUR6157,MED2443,SHOP3035,MedLink,2020-06-11,41,218
PUR6158,MED2633,SHOP3056,ABC Suppliers,2021-11-09,63,192
PUR6159,MED2152,SHOP3031,LifeLine,2025-06-02,40,244
PUR6160,MED2114,SHOP3117,MedLink,2024-04-14,34,172
PUR6161,MED2691,SHOP3056,LifeLine,2023-08-19,48,279
PUR6162,MED2584,SHOP3111,HealthCorp,2021-12-17,38,208
PUR6163,MED2636,SHOP3007,MedLink,2021-08-10,34,278
PUR6164,MED2814,SHOP3089,HealthCorp,2022-11-15,59,167
PUR6165,MED2117,SHOP3035,LifeLine,2022-05-12,25,161
PUR6166,MED2591,SHOP3063,HealthCorp,2023-06-01,32,258
PUR6167,MED2414,SHOP3011,MedLink,2022-01-15,55,83
PUR6168,MED2756,SHOP3064,MedLink,2024-12-27,77,268
PUR6169,MED2356,SHOP3114,LifeLine,2022-12-15,66,138
PUR6170,MED2808,SHOP3022,HealthCorp,2019-02-15,88,285
PUR6171,MED2108,SHOP3132,MedLink,2025-02-07,1,168
PUR6172,MED2348,SHOP3031,HealthCorp,2024-02-16,11,236
PUR6173,MED2169,SHOP3061,LifeLine,2022-08-16,21,197
PUR6174,MED2196,SHOP3146,ABC Suppliers,2024-10-31,35,161
PUR6175,MED2966,SHOP3079,LifeLine,2024-08-28,42,258
PUR6176,MED2044,SHOP3077,HealthCorp,2019-03-11,40,277
PUR6177,MED2150,SHOP3077,ABC Suppliers,2023-08-14,38,176
PUR6178,MED2007,SHOP3007,HealthCorp,2023-07-27,84,215
PUR6179,MED2782,SHOP3045,LifeLine,2025-06-18,20,153
PUR6180,MED2416,SHOP3085,LifeLine,2025-05-01,72,211
PUR6181,MED2033,SHOP3063,MedLink,2023-11-15,14,242
PUR6182,MED2281,SHOP3031,HealthCorp,2019-07-08,33,118
PUR6183,MED2821,SHOP3116,LifeLine,2023-09-06,45,258
PUR6184,MED2088,SHOP3082,ABC Suppliers,2023-04-11,25,165
PUR6185,MED2190,SHOP3048,ABC Suppliers,2022-03-14,74,201
PUR6186,MED2119,SHOP3033,ABC Suppliers,2020-11-28,54,186
PUR6187,MED2144,SHOP3080,HealthCorp,2022-10-25,43,291
PUR6188,MED2433,SHOP3146,LifeLine,2019-04-20,56,254
PUR6189,MED2746,SHOP3031,HealthCorp,2025-03-31,61,252
PUR6190,MED2346,SHOP3137,HealthCorp,2022-02-07,24,164
PUR6191,MED2467,SHOP3048,MedLink,2024-11-02,51,290
PUR6192,MED2924,SHOP3024,LifeLine,2021-02-11,25,170
PUR6193,MED2644,SHOP3129,MedLink,2020-07-21,49,186
PUR6194,MED2006,SHOP3029,HealthCorp,2023-11-09,25,243
PUR6195,MED2758,SHOP3013,LifeLine,2025-05-31,79,199
PUR6196,MED2922,SHOP3002,LifeLine,2023-11-20,-1,178
PUR6197,MED2947,SHOP3114,HealthCorp,2024-11-30,28,157
PUR6198,MED2485,SHOP3086,ABC Suppliers,2021-05-12,39,121
PUR6199,MED2631,SHOP3038,LifeLine,2021-06-09,25,109
PUR6200,MED2547,SHOP3076,HealthCorp,2024-01-12,30,295
PUR6201,MED2148,SHOP3137,ABC Suppliers,2019-07-12,56,184
PUR6202,MED2447,SHOP3117,LifeLine,2019-10-10,17,240
PUR6203,MED2642,SHOP3008,LifeLine,2022-02-12,68,219
PUR6204,MED2401,SHOP3146,HealthCorp,2020-03-07,68,189
PUR6205,MED2445,SHOP3062,ABC Suppliers,2020-01-18,48,195
PUR6206,MED2142,SHOP3085,ABC Suppliers,2019-07-07,53,190
PUR6207,MED2921,SHOP3075,LifeLine,2024-02-24,53,144
PUR6208,MED2665,SHOP3061,HealthCorp,2021-09-05,93,199
PUR6209,MED2059,SHOP3004,LifeLine,2022-12-06,48,146
PUR6210,MED2511,SHOP3052,ABC Suppliers,2020-04-19,51,167
PUR6211,MED2905,SHOP3117,ABC Suppliers,2019-12-27,45,176
PUR6212,MED2582,SHOP3039,HealthCorp,2023-02-27,70,148
PUR6213,MED2423,SHOP3063,LifeLine,2023-11-13,62,175
PUR6214,MED2058,SHOP3122,MedLink,2025-04-16,76,283
PUR6215,MED2303,SHOP3071,HealthCorp,2021-09-29,34,221
PUR6216,MED2069,SHOP3133,HealthCorp,2023-03-29,47,163
PUR6217,MED2535,SHOP3017,MedLink,2021-07-16,44,187
PUR6218,MED2446,SHOP3096,ABC Suppliers,2020-01-03,80,249
PUR6219,MED2722,SHOP3122,ABC Suppliers,2020-04-02,66,278
PUR6220,MED2218,SHOP3073,MedLink,2022-11-27,15,184
PUR6221,MED2161,SHOP3096,ABC Suppliers,2020-03-08,44,170
PUR6222,MED2964,SHOP3008,HealthCorp,2021-11-11,44,198
PUR6223,MED2078,SHOP3010,ABC Suppliers,2019-08-21,29,171
PUR6224,MED2658,SHOP3087,ABC Suppliers,2021-01-02,30,222
PUR6225,MED2016,SHOP3008,ABC Suppliers,2021-05-03,53,167
PUR6226,MED2772,SHOP3037,MedLink,2021-01-04,37,193
PUR6227,MED2609,SHOP3089,ABC Suppliers,2025-07-06,44,191
PUR6228,MED2220,SHOP3058,LifeLine,2021-01-31,36,201
PUR6229,MED2463,SHOP3071,MedLink,2023-03-31,35,147
PUR6230,MED2708,SHOP3080,ABC Suppliers,2020-11-18,43,243
PUR6231,MED2856,SHOP3129,LifeLine,2024-10-27,41,275
PUR6232,MED2978,SHOP3147,ABC Suppliers,2021-09-04,47,225
PUR6233,MED2033,SHOP3056,HealthCorp,2019-02-13,54,275
PUR6234,MED2907,SHOP3040,MedLink,2019-11-27,45,129
PUR6235,MED2001,SHOP3059,ABC Suppliers,2022-09-14,16,164
PUR6236,MED2521,SHOP3001,MedLink,2022-04-09,81,178
PUR6237,MED2063,SHOP3147,LifeLine,2023-11-28,62,171
PUR6238,MED2491,SHOP3039,MedLink,2020-10-22,73,151
PUR6239,MED2834,SHOP3046,LifeLine,2021-11-24,32,138
PUR6240,MED2564,SHOP3129,LifeLine,2025-08-22,72,209
PUR6241,MED2495,SHOP3014,LifeLine,2021-08-08,56,215
PUR6242,MED2139,SHOP3039,LifeLine,2022-12-20,50,288
PUR6243,MED2576,SHOP3118,MedLink,2025-03-13,66,247
PUR6244,MED2337,SHOP3134,ABC Suppliers,2023-09-16,80,233
PUR6245,MED2526,SHOP3014,MedLink,2020-08-05,44,139
PUR6246,MED2942,SHOP3032,MedLink,2022-11-09,73,251
PUR6247,MED2241,SHOP3042,ABC Suppliers,2022-04-21,45,185
PUR6248,MED2940,SHOP3092,HealthCorp,2023-05-20,53,316
PUR6249,MED2309,SHOP3055,MedLink,2021-07-28,42,79
PUR6250,MED2434,SHOP3141,MedLink,2024-11-26,64,257
PUR6251,MED2362,SHOP3056,LifeLine,2021-07-01,48,121
PUR6252,MED2443,SHOP3050,MedLink,2022-03-27,45,233
PUR6253,MED2392,SHOP3105,MedLink,2025-05-07,65,120
PUR6254,MED2244,SHOP3084,MedLink,2022-08-07,53,204
PUR6255,MED2856,SHOP3099,ABC Suppliers,2022-10-16,77,188
PUR6256,MED2032,SHOP3000,LifeLine,2022-03-27,2,153
PUR6257,MED2554,SHOP3021,HealthCorp,2025-04-27,58,200
PUR6258,MED2449,SHOP3013,MedLink,2022-03-10,61,144
PUR6259,MED2805,SHOP3083,HealthCorp,2021-12-18,53,158
PUR6260,MED2109,SHOP3121,ABC Suppliers,2023-10-31,61,138
PUR6261,MED2388,SHOP3132,LifeLine,2021-03-12,78,135
PUR6262,MED2165,SHOP3084,MedLink,2022-04-18,65,226
PUR6263,MED2411,SHOP3137,ABC Suppliers,2023-08-03,50,219
PUR6264,MED2687,SHOP3037,HealthCorp,2021-01-17,49,140
PUR6265,MED2146,SHOP3016,ABC Suppliers,2023-07-19,70,212
PUR6266,MED2473,SHOP3124,ABC Suppliers,2024-04-29,60,252
PUR6267,MED2181,SHOP3043,LifeLine,2021-12-22,45,272
PUR6268,MED2280,SHOP3101,ABC Suppliers,2025-01-05,56,24
PUR6269,MED2421,SHOP3058,MedLink,2021-03-14,21,206
PUR6270,MED2286,SHOP3095,ABC Suppliers,2020-04-12,41,241
PUR6271,MED2482,SHOP3114,ABC Suppliers,2022-03-02,62,162
PUR6272,MED2278,SHOP3069,ABC Suppliers,2021-12-06,74,212
PUR6273,MED2361,SHOP3026,LifeLine,2023-11-02,36,214
PUR6274,MED2890,SHOP3119,HealthCorp,2020-03-29,14,248
PUR6275,MED2771,SHOP3119,HealthCorp,2022-09-23,48,267
PUR6276,MED2548,SHOP3000,MedLink,2019-05-02,32,238
PUR6277,MED2159,SHOP3049,ABC Suppliers,2024-07-19,49,244
PUR6278,MED2829,SHOP3102,HealthCorp,2024-11-27,21,164
PUR6279,MED2237,SHOP3019,ABC Suppliers,2025-07-05,44,114
PUR6280,MED2028,SHOP3060,LifeLine,2022-09-28,84,231
PUR6281,MED2281,SHOP3066,ABC Suppliers,2021-11-01,13,292
PUR6282,MED2160,SHOP3078,LifeLine,2019-01-22,29,230
PUR6283,MED2084,SHOP3058,MedLink,2025-07-02,40,207
PUR6284,MED2543,SHOP3103,HealthCorp,2025-07-17,74,185
PUR6285,MED2714,SHOP3018,HealthCorp,2021-06-17,71,204
PUR6286,MED2112,SHOP3073,LifeLine,2020-09-21,48,146
PUR6287,MED2745,SHOP3110,HealthCorp,2021-01-01,66,167
PUR6288,MED2061,SHOP3108,LifeLine,2021-11-13,79,145
PUR6289,MED2767,SHOP3109,MedLink,2025-07-05,48,238
PUR6290,MED2211,SHOP3001,LifeLine,2021-08-14,38,280
PUR6291,MED2506,SHOP3113,MedLink,2024-06-16,47,181
PUR6292,MED2688,SHOP3005,ABC Suppliers,2021-01-24,26,147
PUR6293,MED2155,SHOP3116,HealthCorp,2019-12-05,32,74
PUR6294,MED2837,SHOP3083,MedLink,2024-02-18,39,228
PUR6295,MED2333,SHOP3075,LifeLine,2021-09-02,51,229
PUR6296,MED2459,SHOP3137,LifeLine,2023-05-09,22,154
PUR6297,MED2911,SHOP3086,LifeLine,2024-12-29,23,201
PUR6298,MED2795,SHOP3142,LifeLine,2023-11-26,86,147
PUR6299,MED2745,SHOP3125,LifeLine,2021-01-12,84,197
PUR6300,MED2774,SHOP3052,HealthCorp,2022-08-05,48,319
PUR6301,MED2501,SHOP3003,LifeLine,2020-10-18,71,122
PUR6302,MED2058,SHOP3013,LifeLine,2019-11-07,54,213
PUR6303,MED2228,SHOP3140,ABC Suppliers,2019-08-14,18,246
PUR6304,MED2649,SHOP3146,MedLink,2020-02-16,78,203
PUR6305,MED2882,SHOP3061,HealthCorp,2025-01-29,20,246
PUR6306,MED2007,SHOP3126,LifeLine,2020-04-01,48,201
PUR6307,MED2039,SHOP3082,HealthCorp,2025-08-24,24,201
PUR6308,MED2701,SHOP3064,MedLink,2021-02-22,52,195
PUR6309,MED2553,SHOP3048,ABC Suppliers,2024-02-22,100,203
PUR6310,MED2047,SHOP3143,HealthCorp,2023-07-18,36,140
PUR6311,MED2398,SHOP3023,MedLink,2019-11-25,81,351
PUR6312,MED2535,SHOP3120,LifeLine,2023-03-11,-8,212
PUR6313,MED2020,SHOP3064,LifeLine,2022-10-31,42,161
PUR6314,MED2194,SHOP3147,MedLink,2023-05-28,67,132
PUR6315,MED2744,SHOP3016,MedLink,2025-04-28,63,184
PUR6316,MED2793,SHOP3108,MedLink,2019-02-21,42,150
PUR6317,MED2564,SHOP3001,MedLink,2024-04-06,57,225
PUR6318,MED2623,SHOP3024,MedLink,2024-11-26,21,151
PUR6319,MED2570,SHOP3050,LifeLine,2023-07-20,75,203
PUR6320,MED2399,SHOP3140,ABC Suppliers,2020-11-17,53,246
PUR6321,MED2547,SHOP3097,MedLink,2025-05-29,35,147
PUR6322,MED2249,SHOP3009,MedLink,2024-12-15,51,246
PUR6323,MED2909,SHOP3048,MedLink,2024-01-30,39,152
PUR6324,MED2366,SHOP3007,MedLink,2025-08-26,35,179
PUR6325,MED2630,SHOP3053,ABC Suppliers,2025-03-24,69,171
PUR6326,MED2470,SHOP3084,ABC Suppliers,2024-01-06,47,196
PUR6327,MED2034,SHOP3059,HealthCorp,2022-03-28,63,233
PUR6328,MED2323,SHOP3096,MedLink,2022-07-05,22,173
PUR6329,MED2407,SHOP3059,LifeLine,2020-04-25,73,129
PUR6330,MED2674,SHOP3023,LifeLine,2019-04-06,15,210
PUR6331,MED2043,SHOP3023,HealthCorp,2020-11-24,25,241
PUR6332,MED2825,SHOP3128,LifeLine,2020-05-18,45,199
PUR6333,MED2215,SHOP3008,MedLink,2025-03-08,55,191
PUR6334,MED2685,SHOP3020,LifeLine,2020-01-08,59,180
PUR6335,MED2233,SHOP3120,LifeLine,2022-10-25,30,199
PUR6336,MED2063,SHOP3107,MedLink,2023-12-09,69,145
PUR6337,MED2189,SHOP3018,LifeLine,2025-06-21,48,151
PUR6338,MED2547,SHOP3015,LifeLine,2019-11-22,71,151
PUR6339,MED2250,SHOP3043,LifeLine,2025-06-30,87,199
PUR6340,MED2542,SHOP3089,HealthCorp,2019-10-12,72,189
PUR6341,MED2320,SHOP3145,HealthCorp,2024-07-22,67,263
PUR6342,MED2581,SHOP3001,HealthCorp,2024-12-27,17,289
PUR6343,MED2785,SHOP3063,ABC Suppliers,2024-09-24,40,171
PUR6344,MED2174,SHOP3078,HealthCorp,2021-12-08,49,219
PUR6345,MED2826,SHOP3049,MedLink,2023-07-09,21,179
PUR6346,MED2329,SHOP3055,LifeLine,2020-12-21,54,219
PUR6347,MED2070,SHOP3051,MedLink,2023-10-22,52,164
PUR6348,MED2095,SHOP3037,MedLink,2025-06-30,51,229
PUR6349,MED2468,SHOP3111,HealthCorp,2022-09-06,50,168
PUR6350,MED2350,SHOP3136,MedLink,2024-11-05,38,159
PUR6351,MED2119,SHOP3037,ABC Suppliers,2024-06-16,89,245
PUR6352,MED2421,SHOP3111,LifeLine,2019-11-05,39,190
PUR6353,MED2179,SHOP3060,MedLink,2023-05-08,48,171
PUR6354,MED2100,SHOP3147,HealthCorp,2023-03-19,48,188
PUR6355,MED2084,SHOP3119,LifeLine,2021-03-08,59,231
PUR6356,MED2103,SHOP3023,HealthCorp,2020-08-13,70,134
PUR6357,MED2453,SHOP3122,HealthCorp,2020-10-19,30,204
PUR6358,MED2062,SHOP3107,HealthCorp,2025-07-17,70,193
PUR6359,MED2718,SHOP3111,ABC Suppliers,2020-01-11,69,279
PUR6360,MED2331,SHOP3094,HealthCorp,2024-11-14,49,278
PUR6361,MED2037,SHOP3058,ABC Suppliers,2023-05-10,73,171
PUR6362,MED2583,SHOP3119,LifeLine,2022-01-26,9,189
PUR6363,MED2257,SHOP3075,ABC Suppliers,2021-04-11,64,115
PUR6364,MED2294,SHOP3123,ABC Suppliers,2024-12-03,52,210
PUR6365,MED2443,SHOP3051,MedLink,2024-05-22,75,186
PUR6366,MED2501,SHOP3148,MedLink,2020-09-15,77,147
PUR6367,MED2029,SHOP3047,LifeLine,2021-04-19,11,229
PUR6368,MED2454,SHOP3023,LifeLine,2020-12-23,54,207
PUR6369,MED2362,SHOP3071,LifeLine,2020-02-18,35,213
PUR6370,MED2408,SHOP3074,HealthCorp,2020-11-12,31,276
PUR6371,MED2233,SHOP3019,ABC Suppliers,2024-05-31,41,239
PUR6372,MED2299,SHOP3055,LifeLine,2022-01-31,9,181
PUR6373,MED2390,SHOP3101,LifeLine,2023-11-24,57,226
PUR6374,MED2792,SHOP3062,MedLink,2023-08-31,55,188
PUR6375,MED2556,SHOP3122,MedLink,2020-02-13,8,210
PUR6376,MED2665,SHOP3015,LifeLine,2024-05-05,21,68
PUR6377,MED2151,SHOP3124,LifeLine,2021-08-20,88,145
PUR6378,MED2350,SHOP3084,ABC Suppliers,2023-03-11,59,289
PUR6379,MED2910,SHOP3075,ABC Suppliers,2022-10-31,1,173
PUR6380,MED2580,SHOP3066,MedLink,2020-11-08,28,239
PUR6381,MED2347,SHOP3087,ABC Suppliers,2022-05-02,54,206
PUR6382,MED2260,SHOP3051,ABC Suppliers,2025-04-24,27,289
PUR6383,MED2153,SHOP3096,MedLink,2021-04-18,68,242
PUR6384,MED2942,SHOP3104,LifeLine,2021-01-01,41,206
PUR6385,MED2766,SHOP3020,LifeLine,2024-10-15,65,281
PUR6386,MED2024,SHOP3040,HealthCorp,2021-10-02,69,181
PUR6387,MED2597,SHOP3043,MedLink,2023-05-21,68,199
PUR6388,MED2230,SHOP3130,LifeLine,2020-03-07,35,128
