stock_id,shop_id,medicine_id,available_units,last_updated
STK7045,SHOP3025,MED2358,38,2023-06-05
STK7046,SHOP3085,MED2916,18,2021-01-18
STK7047,SHOP3110,MED2784,65,2020-06-14
STK7048,SHOP3028,MED2801,29,2020-12-31
STK7049,SHOP3088,MED2946,33,2020-12-31
STK7050,SHOP3015,MED2071,51,2023-07-29
STK7051,SHOP3046,MED2496,23,2021-10-06
STK7052,SHOP3102,MED2953,21,2022-06-30
STK7053,SHOP3018,MED2379,22,2019-12-08
STK7054,SHOP3149,MED2600,45,2025-07-01
STK7055,SHOP3049,MED2748,,2023-04-01
STK7056,SHOP3091,MED2018,15,2022-11-01
STK7057,SHOP3008,MED2544,75,2021-07-28
STK7058,SHOP3146,MED2932,29,2020-03-20
STK7059,SHOP3093,MED2332,45,2020-03-06
STK7060,SHOP3129,MED2545,39,2019-07-03
STK7061,SHOP3125,MED2108,20,2021-08-24
STK7062,SHOP3038,MED2620,23,2023-06-23
STK7063,SHOP3132,MED2278,14,2022-08-04
STK7064,SHOP3047,MED2827,,2025-05-05
STK7065,SHOP3109,MED2135,68,2025-02-11
STK7066,SHOP3101,MED2685,30,2023-11-13
STK7067,SHOP3057,MED2299,49,2019-12-21
STK7068,SHOP3030,MED2370,52,2023-01-06
STK7069,SHOP3062,MED2926,5,2021-04-05
STK7070,SHOP3118,MED2597,32,2019-06-17
STK7071,SHOP3030,MED2123,38,2021-11-04
STK7072,SHOP3017,MED2933,13,2019-02-27
STK7073,SHOP3111,MED2619,29,2023-09-02
STK7074,SHOP3109,MED2122,,2024-11-10
STK7075,SHOP3012,MED2273,25,2024-07-22
STK7076,SHOP3004,MED2594,36,2020-09-20
STK7077,SHOP3075,MED2682,26,2019-03-12
STK7078,SHOP3067,MED2929,30,2019-10-28
STK7079,SHOP3051,MED2433,14,2023-07-28
STK7080,SHOP3051,MED2422,39,2023-07-20
STK7081,SHOP3094,MED2250,26,2020-03-15
STK7082,SHOP3084,MED2273,19,2021-09-25
STK7083,SHOP3071,MED2899,19,2020-05-14
STK7084,SHOP3145,MED2221,40,2019-10-30
STK7085,SHOP3013,MED2465,22,2022-04-28
STK7086,SHOP3039,MED2532,50,2022-01-05
STK7087,SHOP3000,MED2788,26,2025-01-24
STK7088,SHOP3035,MED2869,29,2024-11-13
STK7089,SHOP3112,MED2396,43,2024-10-20
STK7090,SHOP3019,MED2562,17,2021-11-27
STK7091,SHOP3127,MED2934,11,2020-05-27
STK7092,SHOP3032,MED2508,28,2023-02-27
STK7093,SHOP3062,MED2732,42,2022-07-06
STK7094,SHOP3043,MED2111,19,2023-08-22
STK7095,SHOP3009,MED2135,5,2019-12-28
STK7096,SHOP3140,MED2529,44,2023-01-21
STK7097,SHOP3145,MED2082,16,2021-11-21
STK7098,SHOP3140,MED2923,36,2021-05-31
STK7099,SHOP3113,MED2360,22,2020-07-01
STK7100,SHOP3051,MED2674,,2019-12-26
STK7101,SHOP3054,MED2703,9,2022-11-30
STK7102,SHOP3092,MED2053,21,2023-02-06
STK7103,SHOP3037,MED2692,20,2019-07-29
STK7104,SHOP3099,MED2359,35,2022-06-04
STK7105,SHOP3140,MED2679,18,2020-08-01
STK7106,SHOP3042,MED2670,46,2022-11-25
STK7107,SHOP3002,MED2622,16,2022-04-08
STK7108,SHOP3023,MED2411,42,2025-03-12
STK7109,SHOP3045,MED2482,12,2024-03-13
STK7110,SHOP3145,MED2505,,2023-04-13
STK7111,SHOP3056,MED2858,43,2021-04-08
STK7112,SHOP3100,MED2355,31,2020-03-29
STK7113,SHOP3036,MED2063,31,2024-01-18
STK7114,SHOP3131,MED2312,12,2020-05-01
STK7115,SHOP3146,MED2833,0,2024-03-11
STK7116,SHOP3036,MED2355,54,2022-01-11
STK7117,SHOP3004,MED2490,,2024-03-07
STK7118,SHOP3006,MED2796,0,2020-06-28
STK7119,SHOP3147,MED2852,10,2022-05-21
STK7120,SHOP3104,MED2687,64,2022-11-16
STK7121,SHOP3054,MED2715,34,2020-06-15
STK7122,SHOP3090,MED2239,38,2020-12-19
STK7123,SHOP3061,MED2608,29,2024-02-19
STK7124,SHOP3061,MED2929,40,2019-04-22
STK7125,SHOP3021,MED2216,56,2024-08-03
STK7126,SHOP3057,MED2399,22,2021-01-17
STK7127,SHOP3036,MED2958,27,2021-09-01
STK7128,SHOP3046,MED2386,18,2024-10-03
STK7129,SHOP3001,MED2556,32,2023-09-25
STK7130,SHOP3146,MED2090,32,2023-07-20
STK7131,SHOP3124,MED2346,26,2023-04-21
STK7132,SHOP3015,MED2339,46,2023-04-14
STK7133,SHOP3123,MED2604,27,2020-12-19
STK7134,SHOP3005,MED2723,16,2022-04-26
STK7135,SHOP3087,MED2098,18,2022-10-06
STK7136,SHOP3050,MED2588,37,2019-08-02
STK7137,SHOP3000,MED2009,37,2022-11-10
STK7138,SHOP3053,MED2964,37,2023-12-01
STK7139,SHOP3019,MED2645,9,2021-08-21
STK7140,SHOP3112,MED2861,26,2020-12-26
STK7141,SHOP3038,MED2716,31,2022-07-16
STK7142,SHOP3059,MED2819,33,2023-05-02
STK7143,SHOP3007,MED2399,19,2024-02-16
STK7144,SHOP3062,MED2296,5,2020-08-13
STK7145,SHOP3033,MED2588,9,2025-08-20
STK7146,SHOP3002,MED2351,33,2020-04-04
STK7147,SHOP3113,MED2575,24,2023-12-06
STK7148,SHOP3092,MED2325,,2023-01-24
STK7149,SHOP3109,MED2444,33,2020-05-11
STK7150,SHOP3066,MED2528,21,2020-09-04
STK7151,SHOP3137,MED2452,52,2020-12-07
STK7152,SHOP3064,MED2268,55,2022-05-20
STK7153,SHOP3073,MED2722,34,2022-02-08
STK7154,SHOP3109,MED2079,53,2022-02-21
STK7155,SHOP3026,MED2683,4,2020-11-25
STK7156,SHOP3092,MED2239,53,2019-09-29
STK7157,SHOP3050,MED2433,22,2019-06-28
STK7158,SHOP3044,MED2757,26,2021-08-14
STK7159,SHOP3057,MED2493,33,2024-10-07
STK7160,SHOP3026,MED2667,26,2019-01-25
STK7161,SHOP3013,MED2578,56,2021-12-10
STK7162,SHOP3020,MED2096,50,2025-01-10
STK7163,SHOP3024,MED2238,51,2022-12-28
STK7164,SHOP3129,MED2139,20,2021-12-06
STK7165,SHOP3005,MED2369,37,2022-03-09
STK7166,SHOP3126,MED2227,13,2019-12-23
STK7167,SHOP3030,MED2324,39,2023-03-28
STK7168,SHOP3042,MED2677,32,2025-04-15
STK7169,SHOP3128,MED2477,51,2025-06-08
STK7170,SHOP3036,MED2104,16,2023-07-29
STK7171,SHOP3028,MED2723,23,2025-01-23
STK7172,SHOP3040,MED2694,65,2025-01-08
STK7173,SHOP3064,MED2027,46,2024-02-06
STK7174,SHOP3074,MED2365,28,2021-06-24
STK7175,SHOP3017,MED2241,25,2025-03-03
STK7176,SHOP3054,MED2016,20,2023-08-23
STK7177,SHOP3071,MED2014,22,2025-05-13
STK7178,SHOP3020,MED2211,45,2025-05-07
STK7179,SHOP3072,MED2134,75,2019-07-09
STK7180,SHOP3045,MED2052,50,2025-05-13
STK7181,SHOP3032,MED2007,35,2023-06-18
STK7182,SHOP3137,MED2612,42,2023-10-07
STK7183,SHOP3116,MED2847,29,2022-12-14
STK7184,SHOP3086,MED2320,47,2024-07-21
STK7185,SHOP3137,MED2026,11,2023-02-28
STK7186,SHOP3017,MED2201,25,2020-05-25
STK7187,SHOP3102,MED2956,51,2019-04-27
STK7188,SHOP3006,MED2246,47,2020-03-04
STK7189,SHOP3062,MED2725,10,2023-02-13
STK7190,SHOP3121,MED2607,21,2023-03-23
STK7191,SHOP3148,MED2901,,2024-04-16
STK7192,SHOP3058,MED2659,35,2022-03-02
STK7193,SHOP3053,MED2350,27,2024-07-03
STK7194,SHOP3099,MED2469,49,2023-03-02
STK7195,SHOP3113,MED2826,43,2022-10-04
STK7196,SHOP3037,MED2421,,2022-07-01
STK7197,SHOP3043,MED2319,29,2025-06-10
STK7198,SHOP3126,MED2372,27,2021-09-27
STK7199,SHOP3046,MED2958,25,2020-10-16
STK7200,SHOP3069,MED2163,47,2025-08-16
STK7201,SHOP3094,MED2034,,2024-05-07
STK7202,SHOP3139,MED2925,31,2021-04-27
STK7203,SHOP3055,MED2252,12,2021-08-31
STK7204,SHOP3141,MED2230,53,2020-12-20
STK7205,SHOP3089,MED2492,21,2022-03-20
STK7206,SHOP3113,MED2490,49,2024-08-21
STK7207,SHOP3087,MED2884,24,2021-06-03
STK7208,SHOP3109,MED2377,18,2020-08-19
STK7209,SHOP3014,MED2679,26,2024-11-06
STK7210,SHOP3080,MED2127,31,2025-03-30
STK7211,SHOP3009,MED2318,32,2022-09-07
STK7212,SHOP3008,MED2100,29,2019-08-05
STK7213,SHOP3096,MED2869,17,2021-03-13
STK7214,SHOP3125,MED2678,33,2023-07-02
STK7215,SHOP3017,MED2589,23,2022-12-07
STK7216,SHOP3076,MED2811,46,2021-11-24
STK7217,SHOP3083,MED2888,,2022-07-14
STK7218,SHOP3071,MED2154,0,2019-06-27
STK7219,SHOP3148,MED2833,11,2021-08-16
STK7220,SHOP3006,MED2112,28,2022-01-05
STK7221,SHOP3042,MED2162,36,2022-07-25
STK7222,SHOP3087,MED2865,11,2019-04-03
STK7223,SHOP3010,MED2112,18,2020-03-25
STK7224,SHOP3099,MED2023,20,2019-10-26
STK7225,SHOP3009,MED2705,33,2024-07-14
STK7226,SHOP3010,MED2423,80,2022-02-19
STK7227,SHOP3041,MED2506,42,2024-08-28
STK7228,SHOP3141,MED2667,,2023-12-26
STK7229,SHOP3100,MED2374,9,2023-01-06
STK7230,SHOP3089,MED2777,20,2025-05-16
STK7231,SHOP3002,MED2370,32,2023-07-23
STK7232,SHOP3066,MED2316,24,2019-11-20
STK7233,SHOP3007,MED2214,12,2020-06-12
STK7234,SHOP3108,MED2516,52,2023-07-07
STK7235,SHOP3046,MED2801,41,2020-08-29
STK7236,SHOP3027,MED2156,27,2020-12-30
STK7237,SHOP3071,MED2820,12,2024-11-12
STK7238,SHOP3119,MED2942,24,2022-04-03
STK7239,SHOP3022,MED2097,9,2025-05-26
STK7240,SHOP3056,MED2533,22,2020-02-24
STK7241,SHOP3122,MED2711,21,2019-01-29
STK7242,SHOP3031,MED2866,38,2023-09-09
STK7243,SHOP3131,MED2680,43,2025-02-22
STK7244,SHOP3015,MED2637,39,2020-01-03
STK7245,SHOP3144,MED2233,48,2022-06-28
STK7246,SHOP3080,MED2886,3,2023-12-13
STK7247,SHOP3043,MED2432,33,2020-06-08
STK7248,SHOP3076,MED2452,45,2021-12-11
STK7249,SHOP3115,MED2111,24,2025-08-10
STK7250,SHOP3098,MED2552,22,2020-07-26
STK7251,SHOP3098,MED2708,39,2019-12-15
STK7252,SHOP3074,MED2117,10,2024-09-29
STK7253,SHOP3015,MED2880,1,2023-08-20
STK7254,SHOP3115,MED2484,26,2021-02-16
STK7255,SHOP3038,MED2999,25,2025-08-07
STK7256,SHOP3140,MED2594,,2023-09-01
STK7257,SHOP3145,MED2612,74,2025-05-10
STK7258,SHOP3001,MED2441,28,2019-01-04
STK7259,SHOP3088,MED2841,7,2024-10-05
STK7260,SHOP3045,MED2914,39,2022-03-21
STK7261,SHOP3102,MED2699,30,2021-03-25
STK7262,SHOP3024,MED2871,9,2022-05-20
STK7263,SHOP3067,MED2107,33,2022-06-13
STK7264,SHOP3021,MED2606,39,2021-12-19
STK7265,SHOP3000,MED2226,18,2024-04-14
STK7266,SHOP3064,MED2232,55,2021-10-23
STK7267,SHOP3000,MED2757,23,2022-12-15
STK7268,SHOP3034,MED2448,19,2023-01-21
STK7269,SHOP3001,MED2559,27,2020-06-23
STK7270,SHOP3088,MED2389,18,2024-07-03
STK7271,SHOP3031,MED2617,44,2024-04-25
STK7272,SHOP3133,MED2028,,2023-12-22
STK7273,SHOP3065,MED2245,37,2022-06-23
STK7274,SHOP3101,MED2442,15,2024-12-14
STK7275,SHOP3087,MED2698,42,2023-09-27
STK7276,SHOP3119,MED2583,14,2021-10-08
STK7277,SHOP3068,MED2883,62,2024-06-28
STK7278,SHOP3025,MED2124,40,2021-12-06
STK7279,SHOP3007,MED2415,28,2021-05-01
STK7280,SHOP3092,MED2939,8,2021-08-07
STK7281,SHOP3048,MED2867,,2024-09-29
STK7282,SHOP3136,MED2501,16,2022-05-17
STK7283,SHOP3102,MED2407,,2023-08-23
STK7284,SHOP3129,MED2557,24,2021-03-26
STK7285,SHOP3132,MED2422,9,2020-06-01
STK7286,SHOP3011,MED2229,14,2022-03-21
STK7287,SHOP3006,MED2782,9,2021-03-27
STK7288,SHOP3125,MED2659,44,2023-06-26
STK7289,SHOP3003,MED2923,10,2023-05-18
STK7290,SHOP3090,MED2386,38,2021-02-24
STK7291,SHOP3146,MED2089,49,2019-10-17
STK7292,SHOP3120,MED2923,15,2024-04-20
STK7293,SHOP3114,MED2462,42,2023-01-29
STK7294,SHOP3118,MED2357,27,2025-04-28
STK7295,SHOP3040,MED2172,15,2019-03-16
STK7296,SHOP3083,MED2635,13,2025-07-25
STK7297,SHOP3043,MED2981,38,2021-09-20
STK7298,SHOP3042,MED2120,24,2022-07-18
STK7299,SHOP3102,MED2496,6,2023-06-22
STK7300,SHOP3132,MED2108,35,2025-06-19
STK7301,SHOP3139,MED2059,39,2023-01-15
STK7302,SHOP3056,MED2848,18,2023-09-14
STK7303,SHOP3030,MED2933,40,2020-02-13
STK7304,SHOP3115,MED2719,,2021-10-30
STK7305,SHOP3060,MED2402,14,2022-09-30
STK7306,SHOP3115,MED2790,41,2023-03-02
STK7307,SHOP3033,MED2093,32,2024-08-28
STK7308,SHOP3051,MED2786,16,2022-04-20
STK7309,SHOP3084,MED2657,41,2021-02-19
STK7310,SHOP3045,MED2971,27,2019-03-28
STK7311,SHOP3035,MED2087,3,2019-01-05
STK7312,SHOP3081,MED2268,39,2020-11-20
STK7313,SHOP3135,MED2393,44,2020-10-28
STK7314,SHOP3043,MED2351,1,2023-04-24
STK7315,SHOP3104,MED2900,45,2020-12-02
STK7316,SHOP3081,MED2024,33,2023-10-14
STK7317,SHOP3081,MED2638,48,2021-05-18
STK7318,SHOP3098,MED2075,3,2019-03-30
STK7319,SHOP3109,MED2621,33,2023-02-23
STK7320,SHOP3014,MED2341,38,2020-09-05
STK7321,SHOP3042,MED2098,29,2019-04-18
STK7322,SHOP3084,MED2288,33,2022-01-30
STK7323,SHOP3097,MED2170,37,2024-11-05
STK7324,SHOP3021,MED2866,13,2019-02-03
STK7325,SHOP3055,MED2318,30,2019-09-06
STK7326,SHOP3031,MED2161,19,2023-04-11
STK7327,SHOP3091,MED2747,38,2020-11-06
STK7328,SHOP3092,MED2541,37,2020-10-01
STK7329,SHOP3097,MED2942,32,2022-05-22
STK7330,SHOP3044,MED2402,9,2020-02-17
STK7331,SHOP3060,MED2190,26,2022-12-07
STK7332,SHOP3111,MED2560,23,2020-06-04
STK7333,SHOP3012,MED2278,18,2020-05-29
STK7334,SHOP3010,MED2017,30,2019-10-06
STK7335,SHOP3096,MED2872,45,2023-04-17
STK7336,SHOP3099,MED2992,12,2024-01-05
STK7337,SHOP3128,MED2921,10,2024-03-01
STK7338,SHOP3005,MED2949,31,2025-05-18
STK7339,SHOP3127,MED2369,22,2023-08-04
STK7340,SHOP3056,MED2195,38,2024-04-05
STK7341,SHOP3005,MED2552,2,2024-02-10
STK7342,SHOP3147,MED2794,39,2019-09-05
STK7343,SHOP3144,MED2569,48,2020-02-03
STK7344,SHOP3110,MED2685,18,2023-02-25
STK7345,SHOP3120,MED2940,51,2025-06-25
STK7346,SHOP3030,MED2812,27,2019-06-02
STK7347,SHOP3061,MED2654,21,2021-09-07
STK7348,SHOP3088,MED2767,,2023-03-29
STK7349,SHOP3006,MED2757,63,2023-05-04
STK7350,SHOP3143,MED2637,27,2020-10-06
STK7351,SHOP3146,MED2463,6,2022-04-17
STK7352,SHOP3078,MED2548,33,2025-08-31
STK7353,SHOP3131,MED2524,70,2023-01-08
STK7354,SHOP3033,MED2233,35,2022-10-10
STK7355,SHOP3055,MED2039,59,2020-08-26
STK7356,SHOP3095,MED2266,43,2023-08-31
STK7357,SHOP3003,MED2766,43,2024-01-27
STK7358,SHOP3033,MED2093,8,2023-05-22
STK7359,SHOP3105,MED2858,33,2024-01-11
STK7360,SHOP3059,MED2385,43,2021-03-17
STK7361,SHOP3013,MED2295,48,2023-06-01
STK7362,SHOP3128,MED2546,30,2024-08-03
STK7363,SHOP3128,MED2721,35,2024-01-23
STK7364,SHOP3045,MED2523,68,2021-06-25
STK7365,SHOP3069,MED2353,22,2024-08-09
STK7366,SHOP3060,MED2933,46,2019-02-06
STK7367,SHOP3017,MED2432,2,2024-03-05
STK7368,SHOP3077,MED2352,53,2021-06-06
STK7369,SHOP3005,MED2933,39,2022-11-24
STK7370,SHOP3039,MED2646,15,2019-02-08
STK7371,SHOP3108,MED2658,17,2021-12-03
STK7372,SHOP3033,MED2456,30,2025-07-03
STK7373,SHOP3139,MED2973,58,2024-02-20
STK7374,SHOP3149,MED2343,25,2023-01-30
STK7375,SHOP3106,MED2873,61,2024-09-30
STK7376,SHOP3047,MED2190,16,2021-11-03
STK7377,SHOP3072,MED2707,1,2020-10-14
STK7378,SHOP3106,MED2122,20,2025-02-18
STK7379,SHOP3137,MED2584,36,2019-05-08
STK7380,SHOP3038,MED2118,34,2022-02-07
STK7381,SHOP3148,MED2689,10,2022-04-11
STK7382,SHOP3146,MED2592,24,2021-09-25
STK7383,SHOP3088,MED2302,32,2024-06-26
STK7384,SHOP3144,MED2083,18,2025-06-01
STK7385,SHOP3097,MED2172,5,2024-07-26
STK7386,SHOP3060,MED2345,31,2023-06-01
STK7387,SHOP3058,MED2475,18,2019-02-16
STK7388,SHOP3040,MED2671,32,2024-02-15
STK7389,SHOP3029,MED2549,26,2019-09-08
STK7390,SHOP3024,MED2462,32,2025-01-27
STK7391,SHOP3147,MED2291,41,2023-01-03
STK7392,SHOP3026,MED2986,21,2022-08-15
STK7393,SHOP3088,MED2875,1,2025-05-24
STK7394,SHOP3083,MED2828,23,2023-03-14
STK7395,SHOP3115,MED2659,24,2020-05-23
STK7396,SHOP3117,MED2986,52,2024-08-28
STK7397,SHOP3141,MED2104,26,2024-04-17
STK7398,SHOP3107,MED2789,57,2020-06-15
STK7399,SHOP3040,MED2608,7,2020-06-03
STK7400,SHOP3134,MED2752,33,2021-06-18
STK7401,SHOP3012,MED2130,21,2022-10-15
STK7402,SHOP3024,MED2986,39,2021-03-07
STK7403,SHOP3035,MED2572,23,2023-12-25
STK7404,SHOP3119,MED2268,20,2023-06-10
STK7405,SHOP3028,MED2002,14,2023-01-26
STK7406,SHOP3116,MED2991,31,2023-05-24
STK7407,SHOP3107,MED2265,38,2021-06-01
STK7408,SHOP3038,MED2407,31,2019-06-29
STK7409,SHOP3143,MED2914,43,2020-05-30
STK7410,SHOP3019,MED2290,34,2024-02-20
STK7411,SHOP3093,MED2061,20,2025-04-05
STK7412,SHOP3013,MED2039,27,2023-02-22
STK7413,SHOP3084,MED2061,32,2022-07-27
STK7414,SHOP3100,MED2125,29,2019-01-16
STK7415,SHOP3149,MED2202,30,2019-06-16
STK7416,SHOP3017,MED2591,35,2024-09-22
STK7417,SHOP3045,MED2021,13,2023-03-04
STK7418,SHOP3075,MED2725,17,2020-05-08
STK7419,SHOP3139,MED2853,33,2021-11-26
STK7420,SHOP3015,MED2774,68,2019-08-19
STK7421,SHOP3113,MED2255,16,2019-07-15
STK7422,SHOP3107,MED2627,33,2025-02-02
STK7423,SHOP3071,MED2079,16,2023-07-16
STK7424,SHOP3059,MED2546,17,2019-11-13
STK7425,SHOP3019,MED2459,41,2021-04-27
STK7426,SHOP3040,MED2168,39,2019-04-29
STK7427,SHOP3142,MED2403,50,2025-01-30
STK7428,SHOP3119,MED2062,26,2021-09-30
STK7429,SHOP3063,MED2402,44,2025-03-22
STK7430,SHOP3103,MED2706,2,2019-09-17
STK7431,SHOP3038,MED2290,44,2020-04-30
STK7432,SHOP3111,MED2275,1,2021-07-23
STK7433,SHOP3109,MED2422,28,2025-02-15
STK7434,SHOP3147,MED2106,2,2022-02-11
STK7435,SHOP3140,MED2511,35,2020-05-29
STK7436,SHOP3041,MED2879,45,2020-11-01
STK7437,SHOP3064,MED2143,34,2019-05-25
STK7438,SHOP3081,MED2231,43,2023-07-31
STK7439,SHOP3072,MED2195,40,2023-03-05
STK7440,SHOP3131,MED2451,52,2020-02-29
STK7441,SHOP3146,MED2606,22,2023-02-18
STK7442,SHOP3067,MED2644,7,2019-03-19
STK7443,SHOP3018,MED2899,25,2021-10-17
STK7444,SHOP3067,MED2952,56,2023-07-11
STK7445,SHOP3136,MED2750,19,2025-01-02
STK7446,SHOP3006,MED2439,21,2024-09-12
STK7447,SHOP3088,MED2470,42,2023-01-30
STK7448,SHOP3039,MED2031,35,2022-01-02
STK7449,SHOP3002,MED2102,12,2023-08-16
STK7450,SHOP3076,MED2389,7,2020-01-16
STK7451,SHOP3091,MED2583,17,2022-03-02
STK7452,SHOP3010,MED2908,18,2024-03-18
STK7453,SHOP3022,MED2259,57,2022-01-21
STK7454,SHOP3005,MED2489,49,2024-08-10
STK7455,SHOP3009,MED2361,49,2023-12-28
STK7456,SHOP3105,MED2048,31,2021-01-14
STK7457,SHOP3125,MED2682,22,2019-03-22
STK7458,SHOP3021,MED2075,40,2024-10-25
STK7459,SHOP3113,MED2596,20,2022-04-05
STK7460,SHOP3105,MED2049,16,2019-10-23
STK7461,SHOP3008,MED2548,22,2020-02-01
STK7462,SHOP3142,MED2747,39,2022-06-17
STK7463,SHOP3044,MED2979,42,2021-02-20
STK7464,SHOP3104,MED2040,12,2023-04-02
STK7465,SHOP3068,MED2658,19,2019-01-22
STK7466,SHOP3003,MED2943,4,2023-09-25
STK7467,SHOP3055,MED2241,29,2024-01-31
STK7468,SHOP3127,MED2243,,2024-10-05
STK7469,SHOP3147,MED2385,,2019-12-12
STK7470,SHOP3076,MED2218,51,2019-12-21
STK7471,SHOP3038,MED2655,24,2025-03-18
STK7472,SHOP3145,MED2792,5,2024-07-26
STK7473,SHOP3097,MED2223,1,2022-01-29
STK7474,SHOP3077,MED2802,28,2021-02-18
STK7475,SHOP3131,MED2955,40,2023-06-27
STK7476,SHOP3121,MED2485,42,2021-05-17
STK7477,SHOP3023,MED2923,30,2021-12-19
STK7478,SHOP3113,MED2534,27,2022-06-27
STK7479,SHOP3085,MED2399,2,2025-05-03
STK7480,SHOP3054,MED2455,57,2020-09-02
STK7481,SHOP3121,MED2994,19,2019-03-11
STK7482,SHOP3133,MED2584,,2020-01-28
STK7483,SHOP3143,MED2036,16,2022-11-18
STK7484,SHOP3035,MED2728,16,2020-12-16
STK7485,SHOP3091,MED2111,30,2024-09-29
STK7486,SHOP3105,MED2491,28,2023-09-21
STK7487,SHOP3081,MED2714,29,2023-12-13
STK7488,SHOP3097,MED2131,40,2020-07-13
STK7489,SHOP3095,MED2277,38,2024-09-07
STK7490,SHOP3127,MED2825,31,2023-09-20
STK7491,SHOP3071,MED2676,14,2021-06-18
STK7492,SHOP3143,MED2651,53,2020-10-25
STK7493,SHOP3142,MED2832,35,2020-05-27
STK7494,SHOP3008,MED2765,35,2022-05-26
STK7495,SHOP3146,MED2228,17,2025-05-09
STK7496,SHOP3142,MED2471,46,2024-05-04
STK7497,SHOP3034,MED2674,15,2020-03-11
STK7498,SHOP3058,MED2032,11,2019-08-02
STK7499,SHOP3109,MED2511,14,2019-01-01
STK7500,SHOP3031,MED2856,61,2024-09-18
STK7501,SHOP3148,MED2726,26,2021-01-28
STK7502,SHOP3121,MED2090,29,2023-05-16
STK7503,SHOP3123,MED2756,27,2024-10-16
STK7504,SHOP3106,MED2740,30,2019-08-25
STK7505,SHOP3034,MED2307,40,2019-06-02
STK7506,SHOP3056,MED2343,39,2024-05-05
STK7507,SHOP3148,MED2033,55,2020-08-07
STK7508,SHOP3016,MED2851,24,2024-10-08
STK7509,SHOP3112,MED2604,9,2022-12-25
STK7510,SHOP3018,MED2772,35,2022-06-19
STK7511,SHOP3126,MED2313,14,2023-05-31
STK7512,SHOP3068,MED2613,43,2025-07-18
STK7513,SHOP3034,MED2346,23,2020-04-30
STK7514,SHOP3140,MED2687,5,2022-12-13
STK7515,SHOP3135,MED2506,30,2022-05-25
STK7516,SHOP3028,MED2006,13,2022-04-19
STK7517,SHOP3129,MED2251,23,2022-08-15
STK7518,SHOP3056,MED2669,35,2021-01-31
STK7519,SHOP3083,MED2526,15,2019-07-05
STK7520,SHOP3123,MED2469,28,2020-12-25
STK7521,SHOP3091,MED2073,37,2023-08-27
STK7522,SHOP3046,MED2574,17,2022-07-12
STK7523,SHOP3091,MED2821,36,2022-01-05
STK7524,SHOP3109,MED2048,10,2021-09-21
STK7525,SHOP3084,MED2402,33,2022-09-19
STK7526,SHOP3074,MED2439,23,2021-08-20
STK7527,SHOP3126,MED2064,19,2022-09-18
STK7528,SHOP3050,MED2014,51,2020-04-11
STK7529,SHOP3064,MED2713,36,2020-02-21
STK7530,SHOP3102,MED2523,39,2019-12-15
STK7531,SHOP3065,MED2898,31,2023-08-28
STK7532,SHOP3053,MED2408,65,2020-11-12
STK7533,SHOP3009,MED2118,30,2023-08-08
STK7534,SHOP3128,MED2669,28,2023-02-03
STK7535,SHOP3053,MED2785,9,2025-07-12
STK7536,SHOP3030,MED2343,2,2021-03-04
